priority,organisation,route,route_type,invited_scope,recommended_ask,commercial_caveat,official_source
1,"Revolution Event / Electric Love",cooperations@revolutionevent.com,email,"Cooperation partner enquiries","Paid or jointly tested programme-map pilot across one festival, reusable across the portfolio","May be sponsorship/value exchange rather than procurement",https://www.electriclove.at/de/kooperationspartner/
2,"Ars Electronica Festival",festival@ars.electronica.art,email,"Festival partner enquiries","Post-festival conversation for a 2027 multi-location discovery pilot","Exact email routing is on an older official edition page; prefer the available warm introduction",https://ars.electronica.art/festival/de/partners/
3,"GEM2GO / RIS GmbH","official partner form",form,"Solutions, information, and functions for municipalities","One consenting OÖ municipality pilot through a landing page, widget, or technical integration","Strategic channel; co-selling or payer role unverified",https://www.gem2go.info/de-at/werde_partner
4,"CREW8 Events",lorenz@crew8events.at,"form; email for questions","Event technology, marketing/media, and organizer partner applications","One joint organizer pilot with CREW8 retaining the client relationship","Use the prescribed partner form",https://crew8events.at/partner-werden/
5,Donauinselfest,partner@donauinselfest.at,email,"Partnership and cooperation enquiries","Paid or tested programme/orientation service for 25-27 June 2027","Route is mainly sponsorship-led",https://donauinselfest.at/organisation/
6,Diagonale,nina.bedlivy@diagonale.at,email,"Cooperation and media-cooperation enquiries in Graz","Programme and venue map for 7-12 April 2027","Also seeks sponsors; email only one named contact",https://www.diagonale.at/partner/
7,"HIN & WEG",office@hinundweg.jetzt,email,"Programme and project partnerships","Ask which visitor problem remains despite its existing festival map and whether a 2027 pilot has budget","Likely modest budget and sponsorship orientation",https://hinundweg.jetzt/faq/
8,"Dachstein Dialoge",regina.stocker@dachstein-dialoge.at,email,"Individual cooperation proposals","2027 hosted map across towns, dates, venues, and mobility","Published offer is mainly sponsor visibility",https://dachstein-dialoge.at/partnerinnen-2/
9,"Österreich Werbung — Relationship Development",anfrage@austria.info,email,"Partnerships and cooperation","Ask for the correct cultural/tourism partner path for a small Austrian discovery pilot","Likely connector rather than first customer",https://b2b.austria.info/de-at/unternehmen/kontakte/team-relationship-development/
10,"Pure Pleasure",office@purepleasure.at,email,"Partnership interest","Compact programme view for a future edition","Programme may be too small for a paid map",https://www.purepleasure.at/
11,Gasslfest,michael@grossboetzl.at,email,"Advertising partnerships","2027 in-kind or paid digital programme/map partnership","Likely expects sponsor money",https://www.gasslfest.at/
12,"New Work Festival Salzburg",office@coworkingsalzburg.com,email,"Community and other partnership interest","Qualify programme complexity and future-edition visitor need","Likely reciprocal promotion",https://new-work-festival-2-9owh.bolt.host/
13,"IT Futures Linz",event@it-futures.at,"form; email","Individual cooperation formats","Local programme/stage/partner discovery concept","Mainly an exhibitor/sponsorship route",https://it-futures.at/partneranfrage/
14,"WKO Kooperationsbörse",Kooperationsboerse@wkooe.at,"platform; email for questions","Longer-term mutual business cooperation","Seek an event/web agency for referral or white-label cooperation","Pure sales and customer searches are excluded",https://www.wko.at/service/kooperationsboerse
15,"Enterprise Europe Network OÖ",een@wkooe.at,email,"Supplier, distributor, and technology-partner search","Request a DACH event/tourism agency or municipal-service partner search","International and slower than direct local outreach",https://www.wko.at/ooe/netzwerke/een
16,"OÖ Familienbund",events@ooe.familienbund.at,email,"Advertising and sponsorship","Request a media kit for a measurable Linz family launch test","Okolo pays; this is not a customer lead",https://ooe.familienbund.at/werbung/
